Study_ID,Author,Year,Title,Journal,DOI_or_PMID,Etiology,Subtype,Congenital_or_Acquired,Side_deaf_or_lesion,Chronicity_months,Sample_Size_Patients,Sample_Size_Controls,Mean_Age_Patients,Sex_Ratio_Patients,Modality,Acquisition_Type,Scanner_FieldStrength_T,Analysis_Toolbox,Hedges_g_exact,Hedges_g_variance,CI_lower,CI_upper,P_value,Statistic_type,Statistic_value,Direction,ROI_Homogenized,Big_Area,Matter,Side,MNI_X,MNI_Y,MNI_Z,Measure,Network_Assignment,Study_Quality_Score,Extractor,Notes,Source_PDF_or_ZIP
Alhilali_2014,Alhilali et al.,2014.0,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Radiology,10.1148/radiol.14132670,Mild traumatic brain injury,Post-traumatic vestibulopathy,Acquired,Not specified,NA,30.0,39.0,17.6,80% male,DTI (FA),TBSS voxel-wise with ROI extraction,1.5,FSL TBSS,-0.5834,0.06151,-1.0695,-0.0973,0.03,Cohen_d_reported,-0.59,patients < controls (lower FA in vestibulopathy),,,,,,,,,,,,,
Alhilali_2014,Alhilali et al.,2014.0,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Radiology,10.1148/radiol.14132670,Mild traumatic brain injury,Post-traumatic vestibulopathy,Acquired,Not specified,NA,30.0,39.0,17.6,80% male,DTI (FA),TBSS voxel-wise with ROI extraction,1.5,FSL TBSS,-0.6229,0.06187,-1.1104,-0.1354,0.02,Cohen_d_reported,-0.63,patients < controls (lower FA in vestibulopathy),,,,,,,,,,,,,
Alhilali_2014,Alhilali et al.,2014.0,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Radiology,10.1148/radiol.14132670,Mild traumatic brain injury,Convergence insufficiency after mild TBI,Acquired,Not specified,NA,25.0,17.0,18.4,88% male,DTI (FA),TBSS voxel-wise with ROI extraction,1.5,FSL TBSS,-1.2951,0.11979,-1.9735,-0.6167,0.0001,Cohen_d_reported,-1.32,patients < controls (lower FA in convergence insufficiency),,,,,,,,,,,,,
Alhilali_2014,Alhilali et al.,2014.0,Detection of Central White Matter Injury Underlying Vestibulopathy after Mild Traumatic Brain Injury,Radiology,10.1148/radiol.14132670,Mild traumatic brain injury,Convergence insufficiency after mild TBI,Acquired,Not specified,NA,25.0,17.0,18.4,88% male,DTI (FA),TBSS voxel-wise with ROI extraction,1.5,FSL TBSS,-1.3147,0.12043,-1.9949,-0.6345,0.0001,Cohen_d_reported,-1.34,patients < controls (lower FA in convergence insufficiency),,,,,,,,,,,,,
Behnke_2024_PCVD,,,,,,,,,,,,,,,"dMRI NODDI (VIn, VIso), TBSS voxelwise",,,,,,NA,NA,,,,,,,,,,,,,,,,,
Behnke_2024_PCVD,,,,,,,,,,,,,,,"dMRI NODDI (VIn, VIso), TBSS voxelwise",,,,,,NA,NA,,,,,,,,,,,,,,,,,
Behnke_2024_PCVD,,,,,,,,,,,,,,,"dMRI NODDI (VIn, VIso), TBSS voxelwise",,,,,,NA,NA,,,,,,,,,,,,,,,,,
Behnke_2024_PCVD,,,,,,,,,,,,,,,"dMRI NODDI (VIn, VIso), TBSS voxelwise",,,,,,NA,NA,,,,,,,,,,,,,,,,,
Behnke_2024_PCVD,,,,,,,,,,,,,,,"dMRI NODDI (VIso), TBSS voxelwise",,,,,,NA,NA,,,,,,,,,,,,,,,,,
Behnke_2024_PCVD,,,,,,,,,,,,,,,"dMRI NODDI (VIso), TBSS voxelwise",,,,,,NA,NA,,,,,,,,,,,,,,,,,
